# source: refs/2109.03591.pdf page 8, frame (117.25, 92.06, 287.23, 202.45)
# axes: x [0.0, 1.0], y [0.6, 1.2]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve R_F2_nlo: colour=(1.0, 0.0, 0.0) dash='[] 0' points=63 x=[0.0467, 0.9114]
# curve R_gluon_nlo: colour=(1.0, 0.0, 0.0) dash='[ 2.8176797 1.218456 ] 0' points=52 x=[0.0467, 0.8179]
# curve R_F2_nnlo: colour=(0.0, 0.0, 1.0) dash='[] 0' points=58 x=[0.0467, 0.9114]
# curve R_gluon_nnlo: colour=(0.0, 0.0, 1.0) dash='[ 2.8176797 1.218456 ] 0' points=49 x=[0.0467, 0.8062]
# x,R_F2_nlo,R_gluon_nlo,R_F2_nnlo,R_gluon_nnlo
0.684317,0.810643,0.891291,0.831322,0.906414
0.686857,0.810038,0.893065,0.831112,0.908626
0.689397,0.809434,0.89484,0.830901,0.910838
0.691937,0.808961,0.89688,0.830691,0.913342
0.694478,0.808488,0.898921,0.830481,0.915847
0.697018,0.808015,0.901099,0.830271,0.918502
0.699558,0.807542,0.903337,0.83006,0.921221
0.702098,0.807069,0.905658,0.82989,0.924031
0.704638,0.806596,0.908103,0.829781,0.926977
0.707178,0.806124,0.910568,0.829672,0.929947
0.709718,0.805651,0.913228,0.829562,0.933133
0.712258,0.805178,0.915887,0.829453,0.936319
0.714798,0.804777,0.918756,0.829344,0.939746
0.717339,0.804395,0.921676,0.829234,0.943233
0.719879,0.804013,0.924714,0.829185,0.946854
0.722419,0.803631,0.927869,0.829195,0.950608
0.724959,0.803293,0.931071,0.829204,0.954416
0.727499,0.803134,0.934459,0.829214,0.958435
0.730039,0.802974,0.937847,0.829224,0.962454
0.732579,0.802994,0.941465,0.829234,0.966737
0.735119,0.803033,0.945109,0.829244,0.97105
0.737659,0.803073,0.948923,0.829331,0.975561
0.7402,0.803112,0.952851,0.82947,0.980204
0.74274,0.803212,0.956872,0.829609,0.984957
0.74528,0.803454,0.961112,0.829749,0.989969
0.74782,0.803695,0.965352,0.829888,0.99498
0.75036,0.803937,0.970006,0.830167,1.00042
0.7529,0.804178,0.974659,0.830446,1.00586
0.75544,0.804541,0.979578,0.830726,1.01162
0.75798,0.804956,0.98461,0.831005,1.01752
0.760521,0.805371,0.989797,0.831359,1.02362
0.763061,0.805786,0.995215,0.831826,1.03003
0.765601,0.806225,1.00068,0.832293,1.03649
0.768141,0.806877,1.00654,0.832759,1.04346
0.770681,0.807528,1.0124,0.833226,1.05043
0.773221,0.808179,1.01867,0.833837,1.05792
0.775761,0.808831,1.02505,0.834484,1.06554
0.778301,0.809546,1.03171,0.835204,1.07352
0.780841,0.810326,1.03867,0.835998,1.08187
0.783382,0.811137,1.04575,0.836825,1.09035
0.785922,0.812071,1.05326,0.837789,1.09942
0.788462,0.813004,1.06078,0.838752,1.10848
0.791002,0.814085,1.06888,0.839894,1.11827
0.793542,0.815181,1.07705,0.841055,1.12815
0.796082,0.816433,1.08582,0.842352,1.13874
0.798622,0.817788,1.09499,0.843742,1.1498
0.801162,0.81923,1.1045,0.84521,1.16126
0.803702,0.820876,1.1148,0.846862,1.17365
0.806243,0.822521,1.12509,0.848514,1.18603
