# source: refs/1702.05337.pdf page 9, frame (371.31, 568.87, 526.9, 668.51)
# axes: x [0.0, 1.6], y [-0.001, 0.0015]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve xb1_theory1_sum: colour=(0.0, 0.0, 1.0) dash='[] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_SD: colour=(0.0, 0.0, 1.0) dash='[ 2.84259 2.84259 ] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_DD: colour=(0.0, 0.0, 1.0) dash='[ 1.13704 2.27407 ] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory2_sum: colour=(0.037, 0.833, 0.0) dash='[] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_SD: colour=(0.037, 0.833, 0.0) dash='[ 2.84259 2.84259 ] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_DD: colour=(0.037, 0.833, 0.0) dash='[ 1.13704 2.27407 ] 0' points=159 x=[0.0100, 1.5900]
# x,xb1_theory1_sum,xb1_theory1_SD,xb1_theory1_DD,xb1_theory2_sum,xb1_theory2_SD,xb1_theory2_DD
1.0563,0.000294786,0.000148522,0.000146228,0.000141547,8.58556e-05,5.56826e-05
1.06158,0.000282656,0.000139822,0.000142833,0.00013634,8.19105e-05,5.44344e-05
1.06686,0.000270962,0.000131504,0.000139458,0.000131365,7.81693e-05,5.32135e-05
1.07215,0.000259704,0.000123559,0.000136145,0.000126528,7.45378e-05,5.20043e-05
1.07743,0.000248876,0.000115979,0.000132909,0.00012189,7.10666e-05,5.08122e-05
1.08272,0.000238466,0.000108735,0.000129716,0.000117402,6.77376e-05,4.964e-05
1.088,0.000228459,0.000101843,0.000126595,0.000113056,6.45438e-05,4.84867e-05
1.09329,0.000218812,9.52744e-05,0.000123537,0.000108888,6.15045e-05,4.73743e-05
1.09857,0.000209556,8.90165e-05,0.000120522,0.000104829,5.85602e-05,4.62871e-05
1.10385,0.000200676,8.30828e-05,0.000117587,0.000100972,5.577e-05,4.52092e-05
1.10914,0.000192106,7.74201e-05,0.000114686,9.71923e-05,5.30375e-05,4.41349e-05
1.11442,0.000183903,7.20418e-05,0.00011186,9.36337e-05,5.05048e-05,4.31045e-05
1.11971,0.000176041,6.69458e-05,0.000109072,9.01185e-05,4.80113e-05,4.20829e-05
1.12499,0.000168507,6.21397e-05,0.000106367,8.68451e-05,4.57074e-05,4.11126e-05
1.13028,0.000161278,5.75391e-05,0.000103715,8.35966e-05,4.34241e-05,4.01467e-05
1.13556,0.000154356,5.32591e-05,0.000101097,8.05484e-05,4.13173e-05,3.92061e-05
1.14084,0.000147724,4.91613e-05,9.85602e-05,7.75354e-05,3.92393e-05,3.82716e-05
1.14613,0.00014136,4.52796e-05,9.60563e-05,7.47108e-05,3.73158e-05,3.73697e-05
1.15141,0.000135277,4.16222e-05,9.363e-05,7.19389e-05,3.54383e-05,3.64784e-05
1.1567,0.000129455,3.81889e-05,9.12588e-05,6.93125e-05,3.36879e-05,3.56162e-05
1.16198,0.000123872,3.49508e-05,8.89263e-05,6.67565e-05,3.19876e-05,3.47691e-05
1.16727,0.000118542,3.18883e-05,8.6629e-05,6.43181e-05,3.03709e-05,3.39474e-05
1.17255,0.000113431,2.90077e-05,8.43992e-05,6.19625e-05,2.88179e-05,3.3132e-05
1.17783,0.000108536,2.63115e-05,8.22142e-05,5.96964e-05,2.73339e-05,3.23232e-05
1.18312,0.000103863,2.37609e-05,8.00719e-05,5.75137e-05,2.59261e-05,3.1553e-05
1.1884,9.93696e-05,2.13734e-05,7.79807e-05,5.53896e-05,2.45719e-05,3.08098e-05
1.19369,9.50668e-05,1.91196e-05,7.59474e-05,5.33791e-05,2.33025e-05,3.00858e-05
1.19897,9.09679e-05,1.69946e-05,7.3954e-05,5.14178e-05,2.207e-05,2.937e-05
1.20425,8.70392e-05,1.50279e-05,7.20079e-05,4.95728e-05,2.09217e-05,2.86648e-05
1.20954,8.3275e-05,1.31817e-05,7.00936e-05,4.77561e-05,1.9794e-05,2.7962e-05
1.21482,7.97112e-05,1.14762e-05,6.82352e-05,4.60976e-05,1.87522e-05,2.73323e-05
1.22011,7.62625e-05,9.85649e-06,6.64057e-05,4.44552e-05,1.77203e-05,2.6709e-05
1.22539,7.30138e-05,8.35661e-06,6.46333e-05,4.28652e-05,1.67797e-05,2.60596e-05
1.23068,6.98756e-05,6.98335e-06,6.28889e-05,4.12899e-05,1.58507e-05,2.54135e-05
1.23596,6.68937e-05,5.67964e-06,6.11933e-05,3.98173e-05,1.50023e-05,2.47901e-05
1.24124,6.40376e-05,4.50072e-06,5.95371e-05,3.83697e-05,1.41692e-05,2.4179e-05
1.24653,6.13087e-05,3.39062e-06,5.79183e-05,3.70039e-05,1.33863e-05,2.36083e-05
1.25181,5.86938e-05,2.3739e-06,5.63196e-05,3.56701e-05,1.26264e-05,2.30424e-05
1.2571,5.62034e-05,1.41499e-06,5.47666e-05,3.43979e-05,1.19107e-05,2.2486e-05
1.26238,5.38125e-05,5.34461e-07,5.3264e-05,3.31672e-05,1.12189e-05,2.19477e-05
1.26767,5.15339e-05,-2.60385e-07,5.17937e-05,3.19872e-05,1.05565e-05,2.14317e-05
1.27295,4.93617e-05,-1.00087e-06,5.03518e-05,3.08581e-05,9.93751e-06,2.09219e-05
1.27823,4.72915e-05,-1.68508e-06,4.89445e-05,2.97697e-05,9.35319e-06,2.0417e-05
