# source: refs/1702.05337.pdf page 10, frame (106.07, 82.89, 263.6, 183.77)
# axes: x [0.0, 1.6], y [-0.002, 0.004]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve xb1_theory1_q2_1p0: colour=(0.0, 0.0, 1.0) dash='[ 2.8781203 2.8781203 ] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_q2_2p5: colour=(0.0, 0.0, 1.0) dash='[] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_q2_5p0: colour=(0.0, 0.0, 1.0) dash='[ 1.15125 2.3025 ] 0' points=317 x=[0.0050, 1.5850]
# curve xb1_theory2_q2_1p0: colour=(0.037, 0.833, 0.0) dash='[ 2.8781203 2.8781203 ] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_q2_2p5: colour=(0.037, 0.833, 0.0) dash='[] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_q2_5p0: colour=(0.037, 0.833, 0.0) dash='[ 1.15125 2.3025 ] 0' points=159 x=[0.0100, 1.5900]
# x,xb1_theory1_q2_1p0,xb1_theory1_q2_2p5,xb1_theory1_q2_5p0,xb1_theory2_q2_1p0,xb1_theory2_q2_2p5,xb1_theory2_q2_5p0
0.394537,-0.000645291,-0.000136441,1.75942e-05,-0.000599466,-0.000406816,-0.00032754
0.399805,-0.000654338,-0.000128873,2.75161e-05,-0.000617003,-0.000409257,-0.000325003
0.405073,-0.000661968,-0.000120615,3.78504e-05,-0.000633188,-0.000410528,-0.000321474
0.41034,-0.000668068,-0.000111684,4.8454e-05,-0.000649217,-0.000411679,-0.000317846
0.415608,-0.000672615,-0.000101926,5.95711e-05,-0.000663714,-0.00041171,-0.000313326
0.420876,-0.000675605,-9.14267e-05,7.11661e-05,-0.000677885,-0.000411528,-0.000308647
0.426143,-0.000676856,-8.03221e-05,8.28408e-05,-0.000690413,-0.000410274,-0.000303167
0.431411,-0.00067625,-6.84842e-05,9.4973e-05,-0.000702381,-0.00040867,-0.000297428
0.436679,-0.000673753,-5.59121e-05,0.00010743,-0.00071281,-0.000406103,-0.000290977
0.441946,-0.000669362,-4.2579e-05,0.00012024,-0.000722387,-0.000403054,-0.000284193
0.447214,-0.000662925,-2.85454e-05,0.000133393,-0.000730497,-0.000399172,-0.000276834
0.452482,-0.000654393,-1.37995e-05,0.000146704,-0.000737453,-0.000394671,-0.000269076
0.45775,-0.000643755,1.60406e-06,0.000160348,-0.000743095,-0.000389467,-0.000260864
0.463017,-0.000630959,1.76489e-05,0.000174236,-0.000747234,-0.000383515,-0.000252189
0.468285,-0.000615946,3.43581e-05,0.00018824,-0.00075024,-0.000377001,-0.000243167
0.473553,-0.000598664,5.17589e-05,0.000202443,-0.00075148,-0.000369598,-0.000233615
0.47882,-0.00057913,6.97392e-05,0.000216874,-0.000751855,-0.000361761,-0.000223804
0.484088,-0.000557195,8.83152e-05,0.000231477,-0.00075005,-0.000352961,-0.000213443
0.489356,-0.000532939,0.000107569,0.000246247,-0.000747609,-0.00034388,-0.000202923
0.494624,-0.000506269,0.000127382,0.000261045,-0.000742695,-0.000333746,-0.000191787
0.499891,-0.000477159,0.000147723,0.000276073,-0.000737428,-0.000323462,-0.000180563
0.505159,-0.000445548,0.000168665,0.000291179,-0.000729443,-0.000311967,-0.000168769
0.510427,-0.000411638,0.000190155,0.000306152,-0.000721179,-0.000300359,-0.000156921
0.515694,-0.00037524,0.000212047,0.000321367,-0.000710374,-0.000287736,-0.000144583
0.520962,-0.000336543,0.000234513,0.000336475,-0.000699086,-0.000274917,-0.00013216
0.52623,-0.000295462,0.000257362,0.000351674,-0.000685588,-0.000261201,-0.000119352
0.531498,-0.000252055,0.000280646,0.000366754,-0.000671375,-0.000247209,-0.000106426
0.536765,-0.000206402,0.00030434,0.000381832,-0.000655326,-0.000232506,-9.31969e-05
0.542033,-0.000158559,0.000328364,0.000396828,-0.000638316,-0.00021748,-7.98719e-05
0.547301,-0.000108498,0.000352664,0.000411686,-0.000619756,-0.000201932,-6.63922e-05
0.552568,-5.63312e-05,0.000377173,0.000426454,-0.000600127,-0.000185996,-5.27819e-05
0.557836,-2.18566e-06,0.000401978,0.000441076,-0.000579366,-0.000169647,-3.90331e-05
0.563104,5.38879e-05,0.000426927,0.000455506,-0.000557373,-0.000152915,-2.52305e-05
0.568371,0.000111915,0.000452106,0.000469735,-0.000534513,-0.000135911,-1.13899e-05
0.573639,0.0001718,0.000477454,0.000483837,-0.000510386,-0.000118528,2.52726e-06
0.578907,0.000233305,0.000502711,0.000497637,-0.000485683,-0.000100973,1.64793e-05
0.584175,0.000296474,0.000528064,0.000511162,-0.000459689,-8.31346e-05,3.03677e-05
0.589442,0.000360988,0.000553308,0.000524409,-0.000433351,-6.52206e-05,4.4239e-05
0.59471,0.000426974,0.000578571,0.000537355,-0.000405734,-4.69856e-05,5.79863e-05
0.599978,0.00049424,0.000603658,0.000549975,-0.00037796,-2.87113e-05,7.17183e-05
0.605245,0.000562669,0.000628621,0.000562225,-0.000349156,-1.03907e-05,8.52487e-05
0.610513,0.000632216,0.000653414,0.000574103,-0.000320254,7.935e-06,9.87523e-05
0.615781,0.000702677,0.000677857,0.000585566,-0.000290472,2.63072e-05,0.000112012
0.621049,0.000774039,0.000702098,0.00059667,-0.000260573,4.46565e-05,0.000125189
0.626316,0.000845978,0.000725931,0.000607327,-0.000230195,6.29124e-05,0.00013803
0.631584,0.000918397,0.000749314,0.000617464,-0.000199706,8.10756e-05,0.00015074
